Barcodes	group	x
Lsk.3	HSCP-1	1
Lsk.80	HSCP-1	1
Lsk.81	HSCP-1	1
Lsk.65	HSCP-1	1
Lsk.16	HSCP-1	1
Lsk.17	HSCP-1	1
Lsk.26	HSCP-1	1
Lsk.69	HSCP-1	1
Lsk.72	HSCP-1	1
Lsk.50	HSCP-1	1
Lsk.78	HSCP-1	1
Cmp.32	HSCP-1	1
Lsk.31	HSCP-1	1
Lsk.33	HSCP-1	1
Lsk.75	HSCP-1	1
Lsk.19	HSCP-1	1
Lsk.88	HSCP-1	1
Lsk.89	HSCP-1	1
Lsk.86	HSCP-1	1
Lsk.34	HSCP-1	1
Lsk.67	HSCP-1	1
Lsk.77	HSCP-1	1
Lsk.92	HSCP-1	1
Lsk.63	HSCP-1	1
Lsk.85	HSCP-1	1
Lsk.43	HSCP-1	1
Lsk.82	HSCP-1	1
Lsk.76	HSCP-1	1
Lsk.29	HSCP-1	1
Lsk.45	HSCP-1	1
Lsk.11	HSCP-1	1
Lsk.49	HSCP-1	1
Lsk.8	HSCP-1	1
Lsk.4	HSCP-1	1
Lsk.9	HSCP-1	1
Lsk.37	HSCP-1	1
Lsk.28	HSCP-1	1
Lsk.55	HSCP-1	1
Lsk.60	HSCP-1	1
Lsk.13	HSCP-1	1
Cmp.96	HSCP-1	1
Lsk.23	HSCP-1	1
Lsk.24	HSCP-1	1
Lsk.22	HSCP-1	1
Lsk.83	HSCP-1	1
Lsk.66	HSCP-1	1
Lsk.5	HSCP-1	1
Lsk.91	HSCP-1	1
Lsk.61	HSCP-1	1
Cmp.6	HSCP-1	1
Cmp.33	HSCP-1	1
Lsk.90	HSCP-1	1
Lsk.6	HSCP-1	1
Lsk.71	HSCP-1	1
Lsk.93	HSCP-1	1
Lsk.38	HSCP-1	1
Lsk.51	HSCP-1	1
Lsk.73	HSCP-1	1
Cmp.28	HSCP-1	1
Cmp.10	HSCP-2	2
Cmp.93	HSCP-2	2
Cmp.36	HSCP-2	2
Cmp.70	HSCP-2	2
Lsk.15	HSCP-2	2
Cmp.44	HSCP-2	2
Cmp.87	HSCP-2	2
Cmp.60	HSCP-2	2
Lsk.48	HSCP-2	2
Lsk.7	HSCP-2	2
Lsk.41	HSCP-2	2
Lsk.84	HSCP-2	2
Cmp.61	HSCP-2	2
Lsk.40	HSCP-2	2
Cmp.29	HSCP-2	2
Lsk.95	HSCP-2	2
Lsk.2	HSCP-2	2
Cmp.3	HSCP-2	2
Lsk.14	HSCP-2	2
Lsk.47	HSCP-2	2
Lsk.20	HSCP-2	2
Lsk.57	HSCP-2	2
Lsk.18	HSCP-2	2
Lsk.35	HSCP-2	2
Lsk.12	HSCP-2	2
Lsk.62	HSCP-2	2
Lsk.64	HSCP-2	2
Lsk.87	HSCP-2	2
