X-Coordinates	Y-Coordinates
634.46362	270.82043
715.60541	515.52922
896.99621	360.90785
678.66593	477.80506
813.72373	71.31655
609.93753	286.6152
766.60273	116.38545
705.16509	183.96178
665.67671	234.70575
771.51037	302.80554
660.31012	493.02031
762.85514	106.45311
677.4434	243.30261
668.15777	487.40838
658.69139	494.04293
771.30525	109.89215
677.49349	294.74635
780.56003	114.80886
795.7181	19.68713
776.31011	-27.35223
737.46305	116.19205
899.45757	346.59963
664.29501	487.16835
666.30241	225.69427
733.12258	232.93205
652.89161	274.485
723.41298	140.85518
737.9643	113.02449
659.36559	154.80568
659.06823	271.8506
658.66857	256.98236
646.81565	134.18981
662.12694	245.74254
730.93396	265.66098
717.52329	265.67613
595.51932	284.85594
697.9134	471.48357
904.87706	354.32018
597.24118	280.96008
785.50981	89.30485
701.89561	503.44182
638.70308	138.97127
904.63436	357.52065
660.55169	464.6277
774.9335	117.46613
721.52718	297.79546
724.96924	119.11046
647.722	484.87836
640.14523	269.8603
656.16291	305.95602
883.02214	343.71393
812.30785	316.97916
797.60912	1.11759
761.66343	113.69947
630.5762	267.36845
611.42057	318.25375
578.2349	283.09015
623.50492	285.03253
581.66366	294.17315
805.40791	41.9411
686.59236	481.54715
580.98018	287.31575
780.65654	142.73947
641.34629	275.52935
772.58182	121.44487
814.95324	315.18967
755.60724	477.26854
848.96408	318.18838
801.57127	41.5457
663.2849	214.77459
627.89875	292.78586
809.79981	58.10313
777.05177	4.77623
734.9265	293.09977
894.35615	344.17696
807.86789	83.45057
684.85236	256.88313
654.75541	128.19832
619.4927	264.34876
598.75432	278.45539
609.32639	288.23799
653.62705	264.00504
652.77654	282.25945
669.16472	494.49026
600.14406	286.95138
730.87669	289.16499
676.31391	279.54333
871.63881	326.738
615.62363	272.61861
660.39171	482.06008
597.32839	300.38978
706.46805	470.70953
759.80397	479.34745
591.40195	329.24859
821.79012	207.58094
697.80969	266.48852
643.82101	490.48306
686.97181	506.48964
624.40038	266.67879
801.69049	50.91786
778.75411	165.09945
792.05096	303.13953
703.09336	248.08275
777.03491	105.30039
718.24008	296.85394
797.44041	310.02911
671.06059	474.08005
848.41469	314.59528
722.39044	167.87599
825.6511	321.72617
641.38552	482.04221
679.88592	242.74177
612.58204	278.30214
805.85094	79.4115
681.58982	162.38913
652.78768	474.72601
669.46136	141.9525
635.31185	280.01715
651.85037	262.41901
747.20919	496.73314
752.43114	107.6875
694.56373	258.83833
812.096	303.49005
705.30028	265.84489
694.31447	256.11355
793.07037	85.83926
715.67052	165.8141
700.12885	467.66037
725.39237	494.48035
675.51771	491.38635
808.92694	315.3708
791.8187	0.1225
676.52657	244.75871
693.00733	483.73299
650.42993	281.07392
807.99159	206.45548
800.98024	33.2059
785.4721	108.06592
780.15753	140.64392
661.97351	461.68466
606.28239	285.36104
605.51106	275.54942
780.13609	89.93649
659.44434	244.59987
701.84884	163.45488
650.88437	483.57659
756.71734	487.01113
779.26095	170.57237
615.3128	267.32017
732.6881	505.35072
659.47298	491.23429
798.43034	96.70568
651.02213	146.33576
803.18743	100.96215
807.53266	58.87465
679.4209	483.27244
636.35096	171.72293
756.34334	108.93084
774.89216	105.73984
630.45224	278.25016
790.55536	-11.62586
798.89953	29.37406
646.09496	481.44398
709.31567	256.38133
577.05554	293.11393
767.04599	302.55488
742.2209	286.2932
712.06918	159.15458
756.64076	124.54701
732.49599	239.68843
817.39079	64.58896
728.58144	488.94019
648.4358	480.67852
656.12607	482.29816
652.44065	490.07158
727.78416	501.93633
624.97739	107.91783
710.14459	205.80134
660.20486	237.76234
690.07865	238.4656
745.5728	128.67473
646.85754	457.9565
815.03273	205.8455
743.85293	106.17368
676.71178	268.78631
687.46687	319.95184
795.26861	-24.18122
884.63362	345.32925
728.31243	116.20289
780.90238	-22.96909
818.11057	305.03174
645.81909	139.14764
627.59975	287.6698
669.94008	469.6478
620.58925	280.36094
626.57127	108.06675
664.59484	480.01347
720.0741	176.40259
788.95643	96.80512
601.75566	293.50578
708.18587	380.24618
821.90615	306.50674
784.67872	139.82426
851.58215	316.07417
652.5465	157.8965
735.3793	306.64393
594.90474	296.85064
690.4828	264.47972
679.92317	275.53125
793.33037	-16.01604
759.97492	208.43294
720.87126	506.05685
685.41753	325.53301
615.16898	276.05739
688.75555	263.57646
793.31388	62.86952
743.81922	296.32308
801.38192	80.23946
668.84221	463.22101
594.21365	289.1925
714.00157	309.16914
811.61176	66.96926
682.64247	507.54215
746.68106	105.54701
656.11614	150.34173
661.05324	274.47313
810.90165	45.68845
793.20722	69.21345
767.04008	129.06593
636.50673	275.57562
670.21819	485.03199
663.89558	155.99378
631.23883	118.82832
795.06737	26.14125
683.9145	497.96772
701.80078	117.18524
777.86646	223.33171
643.14428	315.19752
675.90214	265.18544
641.61533	272.81922
606.49018	271.23278
664.1888	260.78824
627.20524	109.67121
637.94179	230.40559
686.20018	483.39572
816.93734	302.66942
723.22437	508.43585
653.29297	493.18656
590.30424	280.21446
705.03539	515.24332
669.23565	478.44513
760.28554	106.24032
869.84323	331.36273
762.44545	201.45019
637.46904	271.23034
817.87202	62.1466
792.24849	-26.60587
725.79335	110.4687
620.21342	269.19657
617.57048	272.04156
706.54239	516.06099
654.86033	490.98619
682.54822	127.639
729.88759	128.8896
655.22805	279.9013
786.6915	-23.41856
796.57653	101.76901
619.23545	277.05575
679.96923	233.24958
731.68894	105.70897
803.50391	300.24607
746.67686	296.51786
795.35185	13.68048
706.01628	164.1758
691.51186	444.56891
666.90215	474.82649
697.61571	481.88109
608.8233	282.16599
748.29749	250.50928
810.73827	70.83172
748.22478	494.21415
630.2511	275.68133
629.56554	304.19153
793.72944	65.95468
828.45663	306.93556
789.77616	105.69207
583.88931	284.9404
616.48769	277.65064
715.65817	505.03995
742.01701	107.6861
722.65628	301.89829
712.57402	529.76785
761.59495	486.58612
583.3231	296.45089
781.41187	144.80565
676.93054	265.95913
657.60649	456.19064
768.48463	91.62216
627.12388	275.23554
885.23694	343.08994
855.53424	342.12594
655.78065	266.51263
678.95254	134.84392
663.81323	264.72213
701.95643	236.53372
593.7234	283.53799
689.01321	233.12532
653.37783	256.92581
677.39508	480.19851
779.40713	223.49637
896.99314	348.54012
736.8868	238.60042
794.53221	309.96077
689.52461	277.12111
752.50807	475.66427
770.93432	161.31766
672.83131	133.85712
652.66793	285.42668
884.99037	354.56991
672.99611	479.67931
648.63077	269.89378
665.34609	467.47061
797.49405	-12.684
610.85803	273.7144
653.98347	485.38509
907.01569	363.86661
776.42629	221.18662
678.13922	236.47827
672.07338	205.06323
680.76482	475.51351
650.31539	270.86207
624.98081	287.64079
649.00558	272.74851
854.93654	343.71157
622.03444	269.291
642.98253	264.33615
787.15562	-19.24136
772.21532	269.27354
683.63892	478.44457
648.90451	145.58642
699.6093	191.70903
607.14402	292.084
895.1749	341.47262
784.62405	304.1629
705.67861	273.82952
729.67706	118.26312
766.02	173.35496
593.64252	302.46967
686.41071	259.62048
584.27222	300.86742
700.87024	505.14593
696.56689	266.20505
801.49445	64.77337
710.63376	514.92232
665.74933	480.56538
907.30085	358.0713
799.41907	63.246
718.16951	115.16188
799.80743	40.9543
751.61849	291.85285
642.0778	256.34684
851.36149	318.88184
713.5368	516.10747
667.75798	166.39233
643.75154	283.01878
816.03185	59.3181
788.14668	82.77234
791.30799	-27.89399
733.93403	111.02783
709.65555	512.59942
779.05524	157.9292
659.26598	487.79311
731.53066	130.21829
739.37112	106.24301
742.08064	474.52388
790.96725	138.41884
903.29384	359.02013
638.80007	293.7014
891.0442	349.22293
771.56397	104.02064
593.4111	293.07938
688.41603	256.04565
774.42549	101.30092
875.74075	336.18673
627.40139	283.39564
696.22731	313.75641
791.08243	-29.79586
650.52534	135.95541
793.66753	74.56221
728.28141	113.77034
675.30428	252.20386
704.62253	269.93881
602.66974	276.20692
715.42555	273.07232
669.44912	271.55602
737.80682	301.09221
752.97182	297.47722
784.04918	280.87928
688.88	253.98307
900.05766	357.09714
669.44426	180.99537
621.11574	294.09936
715.04059	493.08749
685.87082	479.07727
692.08712	185.34842
719.01668	523.52196
669.90437	482.11336
627.65504	266.17971
691.82082	251.16188
646.25201	478.60438
778.28926	-28.07064
716.75988	526.3683
663.0589	467.36152
654.5434	153.2364
758.00828	107.9717
795.37341	24.20357
795.03214	57.29384
740.97968	293.05942
677.46547	224.2954
783.59318	151.42256
878.72734	331.9335
795.89734	81.70209
586.57424	305.05032
651.02131	236.97101
603.98193	312.1896
676.73984	255.71122
709.51216	226.20385
703.26328	250.27758
667.99024	242.9147
762.35411	284.63146
666.68563	181.72783
785.16656	18.09707
657.41888	253.46893
689.78842	188.36872
789.96263	-18.53476
609.80326	293.89614
671.18634	228.32764
701.59923	282.58074
780.9775	106.52587
722.01878	476.47943
664.70255	238.53057
820.13093	309.07266
624.62006	282.44626
791.94518	-3.48569
601.48747	285.35505
664.5587	455.1742
773.57217	110.46995
644.36876	487.45953
675.90604	479.08145
856.81858	329.94906
699.07228	178.28745
642.51759	261.75955
715.60465	521.77158
711.3631	307.977
766.08124	299.89569
771.34515	217.77284
733.62193	494.70496
683.00496	268.65111
716.99324	504.17225
717.83099	508.82473
815.33525	66.6919
729.38269	120.0823
605.72134	299.83506
662.33518	259.45449
664.29885	255.89572
884.76701	339.48819
643.93771	295.57244
662.77541	473.88912
655.1768	477.17059
693.56294	238.76938
782.39967	218.98313
710.52577	519.78884
642.33524	294.35117
661.96107	491.77432
683.07303	228.30627
733.31977	310.50289
899.34403	348.07149
656.76623	489.65096
778.73176	124.64409
653.50858	261.57629
622.40428	282.14721
649.15399	487.21007
666.30377	189.4649
772.93933	188.88878
796.47	99.94563
777.8329	90.79705
614.86528	281.62503
795.30146	84.90167
777.50913	95.76902
715.10095	116.54379
670.21844	276.5634
653.34213	144.98514
890.37427	351.84673
595.50589	280.2455
919.83259	372.16375
798.00926	72.74163
765.82849	117.38611
841.4131	311.44912
703.09631	263.25798
680.36713	258.53738
681.21824	301.90326
667.99652	482.64643
630.3771	292.98118
810.18757	315.50296
772.1137	117.70066
740.14096	110.75831
603.53373	292.30983
670.47256	297.31987
662.04159	489.71331
666.32567	441.31343
680.21013	245.94794
796.14082	42.9099
901.00352	349.95374
579.67965	294.07084
708.15468	476.13835
722.5062	270.92721
672.99144	493.59206
796.70714	113.36435
730.50093	231.60131
873.4804	327.34689
700.24384	303.10583
735.22382	491.75206
666.17404	216.31006
882.84575	336.29562
649.84271	122.15548
801.17952	292.53491
800.74406	67.9948
741.90796	497.04297
590.85444	301.8524
725.78949	124.46184
760.87502	485.64753
739.53105	306.42141
847.43425	328.28984
880.69991	348.30449
627.51045	268.50049
797.7925	42.36269
787.39134	81.42436
673.07225	481.16077
671.105	480.41478
651.18961	487.6617
676.80944	483.96086
781.65394	137.0937
657.80385	469.20371
664.91324	232.82079
698.03864	446.381
862.50708	326.21431
661.25112	217.58469
595.52899	281.30004
673.29149	469.59161
714.6672	526.69008
706.39185	158.22374
814.98879	60.00279
664.23635	468.57178
705.1075	302.61344
702.84828	173.76588
741.91089	300.64613
673.26955	489.33921
638.42797	127.08878
623.88185	279.86322
799.12715	90.19401
660.295	161.15176
671.39441	266.18786
798.74405	67.6125
664.74257	463.51443
681.62876	183.49262
633.94633	265.4305
678.93826	283.3774
592.88187	278.19038
787.88143	-26.79922
678.59539	252.32978
893.53726	355.619
801.78567	83.49026
803.14889	54.66542
717.62502	516.53645
773.94561	113.52836
742.69296	302.84562
635.86073	118.487
776.44655	295.66032
658.50268	228.89396
672.33242	146.03488
721.86914	125.75381
792.32609	299.90219
711.56952	263.17089
661.74717	185.16534
618.18134	283.98858
690.57492	186.78213
660.55516	476.79278
653.96668	355.18131
691.78648	310.36928
696.66841	220.87303
698.1603	256.61416
760.31299	101.08979
860.69563	324.48612
649.86374	279.02047
808.7033	296.45409
669.8962	153.12552
646.84515	279.69821
860.2699	330.32995
867.83282	332.58033
633.50554	260.56517
780.49604	86.95187
671.05507	164.87201
794.30708	39.93753
749.30021	486.68117
764.46273	105.61617
807.96948	81.65038
654.93569	250.48788
648.71775	284.64241
639.39875	260.87804
771.74061	289.67422
663.89839	178.41501
667.06722	156.09295
696.40279	175.05272
657.17681	275.10168
646.32033	126.33827
700.86687	260.38891
885.2531	341.33629
617.74325	274.49221
630.29309	273.13862
688.85035	260.72604
689.60804	170.33265
683.95614	192.09813
672.22447	467.55749
791.7428	47.18064
793.23571	91.66029
656.06692	288.35025
724.8804	502.27217
664.6938	324.62778
579.00762	297.55913
769.45787	223.99004
714.68103	359.82876
643.70721	268.30376
817.78892	204.95058
699.22523	308.60233
896.82519	346.63137
595.27842	305.55623
655.26145	131.96579
918.75772	371.20315
709.30209	426.63033
790.30486	-21.44577
587.11153	288.37978
780.36153	103.96717
812.50952	64.3192
714.90876	276.9331
676.18726	267.38698
699.2417	281.22823
656.18439	262.15822
743.76868	298.43785
892.75119	351.24108
781.72007	277.33434
680.40505	266.25435
599.91103	284.24608
644.98809	239.43347
661.12738	468.2304
677.12272	261.01026
622.36812	266.19277
776.33358	100.74659
661.67375	447.72246
621.76336	272.64416
633.43209	116.44983
655.37648	277.66999
648.95762	481.74597
717.1255	299.06853
656.34139	281.47599
601.73089	291.93883
777.7568	9.73363
719.82109	113.03668
790.10974	107.75281
597.65009	287.84424
733.72832	114.23209
664.90908	207.06669
658.98481	477.19668
681.03913	250.2328
766.24694	105.36734
629.93	268.21022
783.80025	-14.94397
778.84413	107.35596
778.78039	-25.1004
684.74398	196.7669
674.58569	230.09719
867.01976	329.12624
637.75947	282.3608
864.59449	324.63881
678.85083	454.65611
584.09563	303.48604
615.55488	285.24841
749.62545	491.78259
580.38753	292.05303
773.06302	284.32413
732.46961	112.59599
700.40278	492.87267
796.80241	53.91542
665.96883	471.72971
677.30987	162.29585
766.62595	298.39469
777.48971	145.48595
723.71451	129.60784
675.32944	487.38812
711.12351	498.31407
797.02489	294.8312
586.69387	286.29703
711.36229	303.77645
687.96584	457.4837
666.23048	490.55384
657.09255	487.53597
675.60483	263.37569
584.37743	287.06677
669.13309	209.76854
642.35927	280.74811
795.8834	77.21795
655.78378	379.73253
656.14554	259.68262
679.62066	262.64631
795.82961	67.01303
666.59395	187.93612
764.3553	482.16672
798.33033	57.37141
793.68491	97.85629
664.98471	476.9813
652.28491	479.83339
706.50359	279.79862
799.53729	92.31658
682.23967	281.47228
788.16438	-22.16477
656.27714	483.55357
668.28788	489.78297
601.65237	295.21906
785.19775	132.63087
845.31813	316.75938
721.10584	120.74776
920.38211	372.29798
827.77566	314.61233
811.49908	313.70797
654.99786	474.12758
816.71845	300.73991
786.25287	221.06367
712.67139	279.93783
688.46565	213.51648
882.73779	334.65713
698.77674	258.98726
677.9988	216.83015
745.17392	298.61144
786.44614	100.42669
804.90402	89.8304
814.01547	57.6422
756.78818	214.9094
698.65142	425.12215
789.59257	94.32591
754.02329	481.37996
598.66601	291.86372
796.97283	75.85828
600.10809	281.61276
607.78031	279.35254
749.55751	284.10627
628.32768	112.55857
647.68237	481.41007
607.20528	286.89256
665.25593	243.71183
707.09869	420.13795
645.8879	274.46328
626.06395	272.0714
671.34031	483.00098
858.73159	322.2386
661.50816	288.79519
768.88221	213.65787
873.92869	334.66624
809.25937	51.25595
686.8699	288.56338
764.51788	202.61539
659.71967	173.49219
786.48102	304.04778
709.66503	300.40704
695.27289	447.30502
740.01751	113.66413
652.35579	133.66935
797.26251	96.37169
808.97565	67.74312
793.82641	-27.0393
752.18157	110.1464
678.90607	458.98229
698.94792	254.41634
704.03841	126.97022
718.40417	518.89272
758.8254	203.52572
771.5226	211.2908
725.56406	138.89137
802.01122	93.5861
590.27518	295.59137
853.45078	324.41189
911.1097	366.77373
673.93748	272.19033
778.01953	108.81588
702.62088	189.42672
654.13825	486.67282
756.64819	184.03744
824.41966	302.40707
579.74693	283.38393
734.36345	267.90129
823.65426	308.4553
881.7152	348.86759
642.0715	141.03591
746.35754	99.94097
690.61527	122.47024
818.35919	203.94369
727.83865	483.23793
603.43872	279.78293
801.10426	84.98003
669.7093	474.06372
680.83824	194.58714
757.96708	478.4525
770.75838	112.35211
698.98496	251.95041
668.29751	178.6431
694.27456	295.01542
638.04471	274.0829
637.68842	259.57283
755.08836	481.93378
815.82184	61.64225
730.92927	497.67478
770.03362	176.03487
627.6671	262.15848
659.68753	235.39417
805.63981	76.99355
665.05577	273.6229
613.41173	271.03335
765.53606	478.74505
814.00115	66.76611
735.95044	122.99032
658.04807	266.48541
613.76107	274.0253
604.54792	297.08515
792.929	-18.56088
673.16693	269.00804
668.58146	472.44662
709.80101	289.55077
761.97799	129.51773
805.3612	82.37383
801.01825	39.43083
590.5364	297.43858
784.26335	219.05286
877.87105	335.41973
713.5879	127.98841
774.88313	136.89276
806.44711	70.34277
828.5489	204.36854
632.20871	264.21859
673.30111	484.60649
633.0253	282.96251
671.56284	255.78844
825.05825	207.03735
716.44685	301.7099
686.336	276.47692
657.38793	449.14154
654.57088	229.52714
694.35975	194.9561
757.00019	480.67299
760.41088	177.99959
864.97908	331.1143
683.01728	248.49448
772.83165	90.34017
629.41197	265.36179
619.77805	266.72741
666.77417	183.18098
781.93988	101.91096
703.35422	264.59976
746.08063	282.79912
606.98759	294.20545
583.8638	291.89126
782.24866	303.39336
659.2665	239.29549
712.84621	518.22208
637.50454	278.88255
652.83919	460.41751
729.8594	150.32125
800.31282	87.18743
660.35415	263.47784
717.41565	520.18645
776.07895	48.34588
745.23918	125.19907
761.05529	163.20723
774.24312	141.16139
723.55339	123.36801
790.82045	108.97499
724.48262	299.10741
748.20064	114.82006
654.6043	483.04964
687.76991	235.90885
812.60558	327.00088
643.00747	364.2418
782.78911	90.88548
617.45832	292.1655
788.45676	-20.68932
665.43093	487.44301
645.8495	271.73914
706.81989	284.67139
729.5777	285.3844
697.10153	154.32805
592.66369	283.20372
802.71866	26.88962
893.81486	346.13741
595.98775	292.49679
613.03285	286.43955
664.71697	250.84439
737.00295	110.08507
677.49895	471.8993
684.01496	273.90296
659.00708	471.89132
727.56917	112.56069
688.64071	491.90518
799.57615	83.88924
829.63342	309.75729
